api_number,incident_id,year,spudyr,LifeYear,direction,operator,latitude,longitude,pathway,leak_over,pathway_detail,cause,material,material_detail,volume_gal,waterimpact,contained,state
37-115-20231,I_1884711_V_587089,2010,2010,0,Horizontal,Southwestern Energy Production Co,41.866819,-76.058593,Pit,Overflow,Freeboard Violation,Human Error,Unknown,Unknown,NA,Yes,Unknown,PA
37-115-20238,I_1981837_V_613912,2011,2010,1,Horizontal,Cabot Oil & Gas Corp,41.744764,-75.922467,Pit or Tank,Overflow,Unknown,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-115-20238,I_2244114_V_688553,2014,2010,4,Horizontal,Cabot Oil & Gas Corp,41.744764,-75.922467,Flowline,Leak,Froze,Environmental Conditions,Saltwater,Produced Water,42,No,Yes,PA
37-115-20238,I_1879575_V_585822,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.744764,-75.922467,Pit,Overflow,Unknown,Unknown,Drilling Waste,Drill Cuttings,NA,Unknown,Unknown,PA
37-115-20240,I_2201234_V_676857,2013,2010,3,Horizontal,Cabot Oil & Gas Corp,41.752303,-75.903053,Tank,NA,Unknown,Unknown,Saltwater,Flowback,42,Unknown,Unknown,PA
37-115-20247,I_1883120_V_586660,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.775828,-75.946506,Transport,NA,Loading/Unloading,Equipment Failure,Diesel,Unknown,160,Unknown,Unknown,PA
37-115-20247,I_1902083_V_592174,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.775828,-75.946506,Pit or Tank,Overflow,Freeboard Violation,Human Error,Unknown,Unknown,NA,Unknown,Unknown,PA
37-115-20250,I_1943430_V_603136,2011,2010,1,Horizontal,Cabot Oil & Gas Corp,41.688786,-75.970592,Drill Rig,Leak,Liner tear,Unknown,Drilling Waste,Unknown,NA,Yes,Unknown,PA
37-115-20250,I_1944061_V_603262,2011,2010,1,Horizontal,Cabot Oil & Gas Corp,41.688786,-75.970592,Pit,Leak,Not structurally sound,Unknown,Unknown,Unknown,NA,Yes,Unknown,PA
37-115-20250,I_1943425_V_603120,2010,2010,1,Horizontal,Cabot Oil & Gas Corp,41.688786,-75.970592,Pit,Leak,Liner Tear,Equipment Failure,Unknown,Unknown,NA,Unknown,Unknown,PA
37-115-20261,I_2101725_V_649792,2012,2012,0,Horizontal,Cabot Oil & Gas Corp,41.709664,-75.906542,Transport,Leak,Unknown,Unknown,Diesel,Unknown,9,Yes,No,PA
37-115-20263,I_1946690_V_603841,2011,2010,1,Horizontal,Cabot Oil & Gas Corp,41.751397,-75.945031,Shaker,Leak,Unknown,Equipment Failure,Drilling Waste,Drilling Mud,840,Yes,Unknown,PA
37-115-20265,I_2009130_V_621789,2011,2011,0,Horizontal,Cabot Oil & Gas Corp,41.715653,-75.972408,Pit or Tank,Overflow,Unknown,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-115-20274,I_1942964_V_602994,2011,2010,0,Vertical,Cabot Oil & Gas Corp,41.743839,-75.953342,Pit or Tank,Overflow,Unknown,Unknown,Unknown,Unknown,NA,Yes,Unknown,PA
37-115-20274,I_1949061_V_604575,2011,2010,0,Vertical,Cabot Oil & Gas Corp,41.743839,-75.953342,Pit or Tank,Overflow,Unknown,Unknown,Unknown,Unknown,NA,Yes,No,PA
37-115-20284,I_1980748_V_613572,2011,2010,1,Horizontal,Cabot Oil & Gas Corp,41.751081,-75.867808,Pit or Tank,Overflow,Unknown,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-115-20284,I_2035721_V_629836,2011,2010,2,Horizontal,Cabot Oil & Gas Corp,41.751081,-75.867808,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Yes,Unknown,PA
37-115-20305,I_1932001_V_600710,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.770772,-75.932478,Pit,Overflow,Freeboard Violation,Human Error,Unknown,Unknown,NA,Unknown,Unknown,PA
37-115-20305,I_1902086_V_592178,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.770772,-75.932478,Drill Rig,Leak,Drill rig,Equipment Failure,Equipment Oil,Unknown,15,Yes,Yes,PA
37-115-20305,I_1943937_V_603220,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.770772,-75.932478,Pit,Leak,Not structurally sound,Unknown,Unknown,Unknown,NA,Yes,Unknown,PA
37-115-20310,I_1924181_V_598401,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.770731,-75.932572,Transport,Leak,Unknown,Unknown,Drilling Waste,Drilling Mud,NA,Yes,No,PA
37-115-20320,I_1908992_V_594132,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.697367,-75.865619,Pit,Leak,Improperly Lined,Human Error,Drilling Waste,Unknown,NA,Unknown,Unknown,PA
37-115-20324,I_1916767_V_596307,2010,2010,0,Horizontal,Chesapeake Appalachia LLC,41.679106,-76.047397,Unknown,NA,Unknown,Unknown,Equipment Oil,Unknown,NA,Unknown,Unknown,PA
37-115-20325,I_1931062_V_600522,2010,2010,0,Horizontal,Chesapeake Appalachia LLC,41.679064,-76.047386,Transport,Leak,Unknown,Unknown,Equipment Oil,Unknown,30,Yes,Unknown,PA
37-115-20327,I_1945853_V_603674,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.678653,-75.877631,Transport,NA,Loading/Unloading,Unknown,Chemicals,HCL,NA,Yes,Unknown,PA
37-115-20330,I_1911636_V_594896,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.67865,-75.877739,Transport,NA,Loading/Unloading,Unknown,Diesel,Unknown,3.3,Unknown,Unknown,PA
37-115-20339,I_1962353_V_607913,2011,2010,1,Horizontal,Cabot Oil & Gas Corp,41.782239,-75.925294,Improperly Stored,NA,On Ground,Human Error,Drilling Waste,Drilling Mud,NA,Unknown,Unknown,PA
37-115-20340,I_1912345_V_595025,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.782317,-75.925261,Pit,Overflow,Freeboard Violation,Human Error,Unknown,Unknown,NA,Unknown,Unknown,PA
37-115-20340,I_1911635_V_594890,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.782317,-75.925261,Pit,Leak,Not structurally sound,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-115-20340,I_1902090_V_592179,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.782317,-75.925261,Pit or Tank,Overflow,Freeboard Violation,Human Error,Unknown,Unknown,NA,Unknown,Unknown,PA
37-115-20341,I_1954177_V_605800,2011,2010,0,Horizontal,Chesapeake Appalachia LLC,41.684219,-76.091625,Tank,Overflow,Unknown,Unknown,Saltwater,Flowback,NA,Yes,No,PA
37-115-20342,I_1946747_V_603854,2011,2010,1,Vertical,Chief Oil & Gas LLC,41.714717,-75.884697,Unknown,NA,Unknown,Unknown,Saltwater,Flowback,5,Unknown,Unknown,PA
37-115-20357,I_1967612_V_609304,2011,2011,0,Horizontal,Cabot Oil & Gas Corp,41.701044,-75.886792,Unknown,NA,Unknown,Unknown,Saltwater,Flowback,NA,Yes,No,PA
37-115-20363,I_1975726_V_611990,2011,2010,0,Horizontal,Cabot Oil & Gas Corp,41.761442,-75.977669,Pit or Tank,Overflow,Unknown,Unknown,Unknown,Unknown,NA,Yes,Unknown,PA
