api_number,incident_id,year,spudyr,LifeYear,direction,operator,latitude,longitude,pathway,leak_over,pathway_detail,cause,material,material_detail,volume_gal,waterimpact,contained,state
05-103-09915,1941137,2008,1998,10,Vertical,XTO Energy Inc,39.891,-108.2916,Transport,Leak,Loading/Unloading,Human Error,Saltwater,Unknown,336,No,No,CO
05-045-15507,1941260,2008,2008,1,Directional,Piceance Energy LLC,39.47942,-107.823,Tank,Overflow,Unknown,Equipment Failure,Oil & Saltwater,Unknown,3570,No,Yes,CO
05-077-09501,1941481,2008,2008,0,Directional,Piceance Energy LLC,39.239002,-107.741237,Unknown,NA,Unknown,Equipment Failure,Saltwater,Unknown,1512,No,Yes,CO
05-045-11566,1941484,2008,2006,3,Directional,Encana Oil & Gas Inc,39.607542,-108.144797,Pump,NA,Valve,Human Error,Saltwater,Unknown,8400,Yes,No,CO
05-077-09505,1941504,2008,2008,0,Directional,Piceance Energy LLC,39.257667,-107.728897,Flowline,Leak,Fitting,Equipment Failure,Saltwater,Unknown,630,No,No,CO
05-045-15900,1941696,2008,2008,0,Directional,WPX Energy Rocky Mountain LLC,39.528982,-107.934696,Blowout,NA,Well Kick,Environmental Conditions,Oil & Saltwater,Unknown,5460,No,Yes,CO
05-045-16049,1942122,2008,2008,0,Directional,Encana Oil & Gas Inc,39.47228,-107.6231,Flowline,Leak,Fitting,Equipment Failure,Hydraulic Fracture Solution,Unknown,18060,No,Yes,CO
05-045-15993,1942187,2009,2009,0,Directional,Encana Oil & Gas Inc,39.49284,-107.76772,Transport,Leak,Loading/Unloading,Human Error,Drilling Waste,Drilling Mud,630,No,No,CO
05-045-14477,1942191,2008,2008,0,Directional,Ursa Operating LLC,39.531109,-107.675932,Blowout,NA,Unknown,Unknown,Oil & Saltwater,Unknown,33642,No,No,CO
05-123-26793,1942262,2008,2008,0,Horizontal,Noble Energy Inc,40.23206,-104.62387,Separator,NA,Fitting,Equipment Failure,Crude Oil,Unknown,168,No,No,CO
05-045-13226,1942433,2008,2008,0,Directional,Ursa Operating LLC,39.528969,-107.646317,Tank,Overflow,Unknown,Human Error,Saltwater,Flowback,1470,No,No,CO
05-045-14695,1942624,2009,2008,1,Directional,Encana Oil & Gas Inc,39.47371,-107.63187,Heater Treater,NA,Valve,Equipment Failure,Condensate,Unknown,2520,No,No,CO
05-045-14729,1943126,2009,2008,1,Directional,Encana Oil & Gas Inc,39.45074,-107.96817,Tank,NA,Automated System,Equipment Failure,Oil & Saltwater,Unknown,630,No,Yes,CO
05-123-29262,1943265,2009,2009,0,Vertical,Noble Energy Inc,40.490237,-104.437237,Tank,Overflow,Unknown,Human Error,Crude Oil,Unknown,1092,No,Yes,CO
05-045-10964,1943549,2009,2005,3,Directional,Vanguard Operating LLC,39.510896,-107.684374,Transport,Overflow,Loading/Unloading,Human Error,Crude Oil,Unknown,1134,No,No,CO
05-045-17682,1943574,2009,2009,0,Directional,Encana Oil & Gas Inc,39.472505,-107.614589,Tank,Overflow,Unanticipated Volume,Environmental Conditions,Drilling Waste,Drilling Mud,420,No,Yes,CO
05-045-16299,1943582,2009,2008,0,Directional,Encana Oil & Gas Inc,39.54464,-108.118386,Tank,NA,Valve,Equipment Failure,Saltwater,Unknown,2730,No,No,CO
05-045-13304,1943611,2009,2008,1,Directional,WPX Energy Rocky Mountain LLC,39.47034,-107.923384,Tank,Leak,Corrosion,Equipment Failure,Saltwater,Flowback,756,No,Yes,CO
05-045-16299,1943628,2009,2008,1,Directional,Encana Oil & Gas Inc,39.54464,-108.118386,Manifold,NA,Cap,Equipment Failure,Hydraulic Fracture Solution,Unknown,1260,No,No,CO
05-045-16218,1943705,2009,2008,0,Directional,Caerus Piceance LLC,39.50842,-108.16853,Tank,Overflow,Unknown,Unknown,Saltwater,Unknown,840,No,No,CO
05-045-14726,1943890,2009,2008,1,Directional,Encana Oil & Gas Inc,39.47094,-107.63156,Tank,NA,Gauge,Equipment Failure,Crude Oil,Unknown,1344,No,No,CO
05-045-10831,1943964,2009,2009,0,Directional,Encana Oil & Gas Inc,39.482323,-107.783176,Tank,NA,Valve,Human Error,Drilling Waste,Drilling Mud,NA,No,No,CO
05-045-14330,1944260,2009,2007,2,Directional,Vanguard Operating LLC,39.49977,-107.62974,Tank,NA,Valve,Human Error,Oil & Saltwater,Unknown,1260,No,No,CO
05-045-14034,1944640,2009,2008,1,Directional,WPX Energy Rocky Mountain LLC,39.527492,-107.856789,Transport,Leak,Loading/Unloading,Human Error,Saltwater,Unknown,NA,No,No,CO
05-077-09000,1981045,2007,2006,1,Directional,Piceance Energy LLC,39.233803,-107.765864,Tank,Overflow,Unknown,Human Error,Saltwater,Unknown,840,No,No,CO
05-077-09000,1981046,2007,2006,1,Directional,Piceance Energy LLC,39.233803,-107.765864,Transport,Overflow,Loading/Unloading,Human Error,Oil & Saltwater,Unknown,11340,No,No,CO
05-077-09000,1981047,2007,2006,1,Directional,Piceance Energy LLC,39.233803,-107.765864,Pit,Overflow,Unknown,Human Error,Oil & Saltwater,Unknown,2100,No,No,CO
05-045-12100,1981048,2007,2006,1,Directional,Encana Oil & Gas Inc,39.58358,-108.11399,Pit,Overflow,Unknown,Human Error,Hydraulic Fracture Solution,Unknown,8400,No,Yes,CO
05-045-12002,1981054,2007,2006,2,Directional,Encana Oil & Gas Inc,39.578084,-108.110474,Transport,Leak,Loading/Unloading,Human Error,Saltwater,Unknown,420,No,No,CO
05-045-12325,1981056,2007,2006,1,Directional,Encana Oil & Gas Inc,39.551755,-108.112329,Blowdown,NA,Valve,Human Error,Crude Oil,Unknown,420,No,No,CO
05-045-11551,1981060,2007,2006,2,Directional,Encana Oil & Gas Inc,39.580942,-108.098817,Flowline,Leak,Corrosion,Equipment Failure,Saltwater,Unknown,2310,No,No,CO
05-045-09175,1981063,2007,2003,4,Directional,Encana Oil & Gas Inc,39.5072,-107.7376,Tank,Overflow,Unknown,Equipment Failure,Condensate,Unknown,1092,No,Yes,CO
05-045-11590,1981064,2007,2006,1,Directional,Encana Oil & Gas Inc,39.36933,-108.08496,Tank,Overflow,Unknown,Equipment Failure,Condensate,Unknown,1764,No,Yes,CO
05-045-11944,1981069,2007,2007,0,Directional,Encana Oil & Gas Inc,39.42956,-108.00918,Flowline,Leak,Line Plugged,Equipment Failure,Hydraulic Fracture Solution,Unknown,420,No,No,CO
05-045-12515,1981071,2007,2006,0,Directional,Encana Oil & Gas Inc,39.47215,-107.62302,Transport,NA,Loading/Unloading,Human Error,Condensate,Unknown,966,No,Yes,CO
05-045-10198,1981072,2007,2004,2,Directional,Encana Oil & Gas Inc,39.46547,-107.7385,Well Casing,NA,Valve,Unknown,Saltwater,Unknown,11760,No,Yes,CO
05-045-14095,1981128,2007,2007,0,Directional,WPX Energy Rocky Mountain LLC,39.521003,-107.976262,Pit,Leak,Liner,Equipment Failure,Saltwater,Unknown,84420,No,No,CO
05-045-10938,1981708,2007,2008,0,Directional,Linn Operating Inc,39.537405,-108.176781,Pit,Leak,Liner,Equipment Failure,Unknown,Unknown,NA,Yes,No,CO
05-045-10938,1981710,2007,2008,0,Directional,Linn Operating Inc,39.537405,-108.176781,Pit,Leak,Liner,Equipment Failure,Unknown,Unknown,NA,Yes,No,CO
05-045-14290,1984363,2008,2007,1,Directional,Ursa Operating LLC,39.525741,-107.64274,Transport,Overflow,Loading/Unloading,Human Error,Saltwater,Unknown,12600,No,Yes,CO
05-045-12892,1984700,2008,2008,1,Directional,Caerus Piceance LLC,39.50344,-108.174,Tank,NA,Valve,Equipment Failure,Crude Oil,Unknown,966,No,Yes,CO
05-045-12157,1984946,2008,2006,2,Directional,Ursa Operating LLC,39.522001,-107.708721,Flowline,Leak,Valve,Human Error,Saltwater,Flowback,2520,No,No,CO
05-045-12984,2057065,2007,2006,0,Directional,Vanguard Operating LLC,39.474453,-107.639532,Tank,NA,Valve - Froze,Environmental Conditions,Oil & Saltwater,Unknown,3990,No,No,CO
05-045-10818,2057066,2007,2005,2,Directional,Vanguard Operating LLC,39.485643,-107.649101,Wellhead,Leak,Fitting,Equipment Failure,Oil & Saltwater,Unknown,651,Yes,No,CO
05-045-10926,2057191,2007,2005,1,Directional,Encana Oil & Gas Inc,39.595972,-108.136906,Flowline,Leak,Drain Port,Human Error,Saltwater,Unknown,2520,No,No,CO
