file_no,api,operator,depth_ft,spudyr,latitude,longitude,status,direction,state
26799,33-105-03272,Hess Bakken Investments II LLC,19977,2014,48.07260644,-103.2771647,Active,Horizontal,ND
26938,33-105-03304,Hess Bakken Investments II LLC,21028,2014,48.16965442,-103.3363258,Active,Horizontal,ND
27293,33-061-02893,Hess Bakken Investments II LLC,19649,2014,48.31148601,-102.7365971,Active,Horizontal,ND
27887,33-061-03019,Slawson Exploration Company Inc,15590,2014,47.89023151,-102.4550142,Active,Horizontal,ND
27493,33-061-02925,Slawson Exploration Company Inc,14469,2014,47.97876678,-102.414665,Active,Horizontal,ND
28004,33-061-03041,Slawson Exploration Company Inc,20866,2014,47.8904136,-102.4657689,Active,Horizontal,ND
27914,33-105-03462,Slawson Exploration Company Inc,18410,2014,48.15861891,-103.3791787,Active,Horizontal,ND
29908,33-105-03862,Whiting Oil and Gas Corp,21340,2014,48.34054941,-103.0924982,Active,Horizontal,ND
30067,33-023-01298,SM Energy Company,18508,2014,48.92257552,-103.6233783,Not Completed,Horizontal,ND
30068,33-023-01299,SM Energy Company,18381,2014,48.92271256,-103.6233792,Not Completed,Horizontal,ND
27992,33-053-05779,QEP Energy Company,21235,2014,47.71409862,-102.8757169,Active,Horizontal,ND
28040,33-023-01188,SM Energy Company,18380,2014,48.95147702,-103.6485669,Active,Horizontal,ND
28697,33-053-06038,Emerald Oil Inc,20657,2014,47.67565515,-103.7587792,Active,Horizontal,ND
26953,33-025-02357,Continental Resources Inc,20740,2014,47.45792463,-102.8477852,Active,Horizontal,ND
26954,33-025-02358,Continental Resources Inc,20865,2014,47.45792527,-102.8476032,Inactive,Horizontal,ND
25174,33-053-04861,WPX Energy Williston LLC,21126,2014,47.76483201,-102.6721846,Active,Horizontal,ND
28036,33-061-03049,Whiting Oil and Gas Corp,19810,2014,48.152403,-102.3756969,Active,Horizontal,ND
27861,33-105-03453,Whiting Oil and Gas Corp,21630,2014,48.14235523,-103.240983,Active,Horizontal,ND
27932,33-105-03467,Whiting Oil and Gas Corp,20776,2014,48.14265201,-103.2490595,Active,Horizontal,ND
28679,33-105-03581,Continental Resources Inc,19180,2014,48.60338874,-103.0318451,Active,Horizontal,ND
25173,33-053-04860,WPX Energy Williston LLC,21304,2014,47.76469495,-102.6721865,Active,Horizontal,ND
28729,33-025-02599,OXY USA Inc,20917,2014,47.18490891,-102.7699089,Active,Horizontal,ND
29912,33-061-03398,EOG Resources Inc,19607,2014,48.24253315,-102.2466401,Active,Horizontal,ND
29645,33-023-01282,SM Energy Company,17574,2014,48.9511986,-103.6711205,Active,Horizontal,ND
29890,33-025-02732,OXY USA Inc,20054,2014,47.1528118,-102.8537302,Not Completed,Horizontal,ND
27285,33-025-02399,OXY USA Inc,21477,2014,47.24266565,-102.9853653,Active,Horizontal,ND
27286,33-025-02400,OXY USA Inc,21272,2014,47.24263846,-102.9852075,Active,Horizontal,ND
26956,33-007-01811,Continental Resources Inc,20443,2014,46.98140654,-103.0877586,Active,Horizontal,ND
28626,33-105-03569,Continental Resources Inc,21600,2014,48.22772529,-103.3356594,Active,Horizontal,ND
28680,33-105-03582,Continental Resources Inc,19156,2014,48.6033889,-103.0320311,Active,Horizontal,ND
28683,33-105-03585,Continental Resources Inc,19834,2014,48.60338995,-103.0332303,Active,Horizontal,ND
28022,33-053-05789,QEP Energy Company,21340,2014,47.70609145,-102.8756538,Active,Horizontal,ND
27942,33-053-05758,Triangle USA Petroleum Company,20699,2014,47.96478687,-103.7162132,Active,Horizontal,ND
28038,33-023-01187,SM Energy Company,17785,2014,48.95147702,-103.6483587,Active,Horizontal,ND
27869,33-023-01172,Continental Resources Inc,18830,2014,48.64890917,-102.9664032,Active,Horizontal,ND
26218,33-053-05209,Emerald Oil Inc,20779,2014,47.7028494,-103.6874671,Inactive,Horizontal,ND
26236,33-105-03174,Continental Resources Inc,18518,2014,48.21979686,-103.1553082,Active,Horizontal,ND
26239,33-105-03177,Continental Resources Inc,23609,2014,48.21980869,-103.1558626,Active,Horizontal,ND
27551,33-053-05646,Continental Resources Inc,22225,2014,47.96150344,-103.285788,Inactive,Horizontal,ND
27385,33-075-01456,Enduro Operating LLC,9737,2014,48.7947575,-101.7022189,Active,Horizontal,ND
27297,33-061-02897,Hess Bakken Investments II LLC,19705,2014,48.31148427,-102.7360544,Active,Horizontal,ND
27588,33-053-05662,Enerplus Resources USA Corp,20100,2014,47.9361099,-102.7317322,Active,Horizontal,ND
26770,33-105-03266,Continental Resources Inc,21118,2014,48.0830955,-103.3526613,Active,Horizontal,ND
27150,33-007-01815,Continental Resources Inc,20624,2014,47.06649589,-103.0877072,Active,Horizontal,ND
27560,33-025-02454,Marathon Oil Company,20780,2014,47.4449805,-102.723697,Active,Horizontal,ND
27454,33-025-02437,Continental Resources Inc,20900,2014,47.44387574,-102.7963391,Active,Horizontal,ND
28121,33-007-01833,Emerald Oil Inc,20685,2014,47.03734637,-103.2382425,Active,Horizontal,ND
