api,operator,direction,latitude,longitude,spudyr
05-045-12816,WPX Energy Rocky Mountain LLC,Directional,39.537437,-107.904504,2008
05-045-12542,WPX Energy Rocky Mountain LLC,Directional,39.516745,-107.899998,2006
05-045-15028,Marathon Oil,Directional,39.52413,-108.14796,2008
05-045-15852,WPX Energy Rocky Mountain LLC,Directional,39.4861,-108.034268,2008
05-045-13623,Encana Oil & Gas Inc,Directional,39.42937,-108.00942,2007
05-045-10520,Encana Oil & Gas Inc,Directional,39.44373,-107.69245,2005
05-045-21712,WPX Energy Rocky Mountain LLC,Directional,39.461487,-108.051721,2012
05-045-13824,WPX Energy Rocky Mountain LLC,Directional,39.481064,-107.895907,2007
05-045-13137,WPX Energy Rocky Mountain LLC,Directional,39.496451,-108.088843,2007
05-045-09246,Encana Oil & Gas Inc,Directional,39.46288,-107.76372,2003
05-045-14395,Chevron Inc,Directional,39.574728,-108.353608,2007
05-045-14378,WPX Energy Rocky Mountain LLC,Directional,39.438275,-108.069756,2007
05-045-18223,WPX Energy Rocky Mountain LLC,Directional,39.495907,-108.09135,2010
05-045-12862,WPX Energy Rocky Mountain LLC,Directional,39.534246,-107.898794,2008
05-045-14208,Caerus Piceance LLC,Directional,39.51289,-108.164,2008
05-045-09404,Encana Oil & Gas Inc,Directional,39.48651,-107.67912,2003
05-045-14176,WPX Energy Rocky Mountain LLC,Directional,39.54515,-107.861393,2008
05-045-15944,WPX Energy Rocky Mountain LLC,Directional,39.506249,-107.861281,2009
05-045-13983,OXY USA WTP LP,Directional,39.527198,-108.216781,2007
05-045-11936,WPX Energy Rocky Mountain LLC,Directional,39.458652,-107.944349,2006
05-045-09891,Encana Oil & Gas Inc,Directional,39.47682,-107.73492,2004
05-045-16993,WPX Energy Rocky Mountain LLC,Directional,39.476485,-107.946666,2009
05-077-09552,Piceance Energy LLC,Directional,39.258433,-107.739464,2008
05-045-12836,WPX Energy Rocky Mountain LLC,Directional,39.501482,-107.938961,2007
05-045-17091,WPX Energy Rocky Mountain LLC,Directional,39.485465,-108.132276,2009
05-045-13314,WPX Energy Rocky Mountain LLC,Directional,39.464302,-107.931984,2008
05-045-12243,WPX Energy Rocky Mountain LLC,Directional,39.52118,-107.8801,2007
05-045-09239,Encana Oil & Gas Inc,Directional,39.47295,-107.75612,2003
05-045-12180,Encana Oil & Gas Inc,Directional,39.581881,-108.094608,2006
05-045-11134,WPX Energy Rocky Mountain LLC,Directional,39.530066,-107.871825,2006
05-045-10663,OXY USA WTP LP,Directional,39.51638,-108.24649,2006
05-045-09389,WPX Energy Rocky Mountain LLC,Directional,39.522786,-108.131574,2007
05-045-17891,OXY USA WTP LP,Directional,39.47837,-108.20177,2010
05-045-22231,WPX Energy Rocky Mountain LLC,Directional,39.461795,-108.046628,2014
05-045-14648,Encana Oil & Gas Inc,Directional,39.45868,-107.84754,2007
05-045-13924,WPX Energy Rocky Mountain LLC,Directional,39.543894,-107.851142,2007
05-045-12806,WPX Energy Rocky Mountain LLC,Directional,39.537372,-107.904522,2008
05-045-09120,Encana Oil & Gas Inc,Directional,39.45398,-107.72291,2003
05-045-10264,Encana Oil & Gas Inc,Directional,39.484397,-107.667285,2004
05-077-09361,Piceance Energy LLC,Directional,39.246486,-107.743275,2007
05-045-14042,WPX Energy Rocky Mountain LLC,Directional,39.541233,-108.007107,2007
05-045-11035,Linn Operating Inc,Directional,39.513898,-108.13877,2006
05-045-11979,WPX Energy Rocky Mountain LLC,Directional,39.501614,-108.01181,2006
05-045-17571,OXY USA WTP LP,Directional,39.530662,-108.233175,2010
05-045-10121,Encana Oil & Gas Inc,Directional,39.45602,-107.7829,2004
05-045-13651,Linn Operating Inc,Directional,39.537342,-108.176713,2007
05-045-14080,WPX Energy Rocky Mountain LLC,Directional,39.537691,-107.87506,2007
05-045-16329,WPX Energy Rocky Mountain LLC,Directional,39.4618,-107.890158,2009
05-045-11324,WPX Energy Rocky Mountain LLC,Directional,39.468473,-108.015524,2006
05-045-20164,WPX Energy Rocky Mountain LLC,Directional,39.456475,-108.043845,2011
05-045-13831,WPX Energy Rocky Mountain LLC,Directional,39.476179,-107.894363,2007
05-045-14797,Marathon Oil,Directional,39.55012,-108.17583,2008
05-045-22085,WPX Energy Rocky Mountain LLC,Directional,39.473237,-107.889062,2013
05-045-09808,Encana Oil & Gas Inc,Directional,39.43785,-107.73816,2004
05-045-17493,WPX Energy Rocky Mountain LLC,Directional,39.493622,-107.933052,2009
05-045-21946,WPX Energy Rocky Mountain LLC,Directional,39.407379,-108.10698,2014
05-045-22264,WPX Energy Rocky Mountain LLC,Directional,39.445596,-108.064494,2014
05-045-22087,WPX Energy Rocky Mountain LLC,Directional,39.473265,-107.889022,2013
05-045-11604,WPX Energy Rocky Mountain LLC,Directional,39.480686,-108.07093,2007
05-077-09598,OXY USA Inc,Directional,39.281462,-107.853723,2008
05-045-19783,WPX Energy Rocky Mountain LLC,Directional,39.475228,-107.929336,2011
05-045-11499,Encana Oil & Gas Inc,Directional,39.372194,-108.09386,2006
05-045-20163,WPX Energy Rocky Mountain LLC,Directional,39.456437,-108.043775,2011
05-045-12724,WPX Energy Rocky Mountain LLC,Directional,39.469631,-107.91511,2007
05-045-12237,WPX Energy Rocky Mountain LLC,Directional,39.521154,-107.880055,2007
05-045-14464,WPX Energy Rocky Mountain LLC,Directional,39.465734,-107.95407,2008
05-077-09797,OXY USA Inc,Directional,39.279589,-107.816844,2008
05-045-19020,WPX Energy Rocky Mountain LLC,Directional,39.458756,-107.944386,2011
05-045-13171,WPX Energy Rocky Mountain LLC,Directional,39.472223,-107.961397,2007
05-045-15404,Chevron Inc,Directional,39.58687,-108.34102,2008
05-045-14450,Caerus Piceance LLC,Directional,39.50003,-108.16706,2007
05-045-15335,WPX Energy Rocky Mountain LLC,Directional,39.443436,-108.069551,2008
05-045-14591,Linn Operating Inc,Directional,39.566306,-108.171805,2008
05-077-09441,Piceance Energy LLC,Directional,39.242103,-107.734172,2007
05-045-21768,WPX Energy Rocky Mountain LLC,Directional,39.474693,-107.798779,2013
05-045-13081,Caerus Piceance LLC,Directional,39.53292,-108.12106,2007
05-045-11187,WPX Energy Rocky Mountain LLC,Directional,39.520862,-107.870387,2007
05-045-14590,Linn Operating Inc,Directional,39.566359,-108.171793,2008
05-045-16871,WPX Energy Rocky Mountain LLC,Directional,39.455602,-107.898933,2008
05-045-20765,WPX Energy Rocky Mountain LLC,Directional,39.485171,-107.839942,2012
05-077-09650,OXY USA Inc,Directional,39.28924,-107.8465,2009
05-045-20725,OXY USA WTP LP,Directional,39.54879,-108.23019,2012
05-045-11084,WPX Energy Rocky Mountain LLC,Directional,39.519314,-107.889846,2007
05-045-09207,Encana Oil & Gas Inc,Directional,39.45073,-107.74944,2003
05-045-12728,WPX Energy Rocky Mountain LLC,Directional,39.46969,-107.915136,2007
05-045-13826,WPX Energy Rocky Mountain LLC,Directional,39.476492,-107.897722,2007
05-045-20724,OXY USA WTP LP,Directional,39.54887,-108.23011,2012
05-045-14831,WPX Energy Rocky Mountain LLC,Directional,39.475822,-108.044325,2008
05-045-15452,Encana Oil & Gas Inc,Directional,39.592151,-108.132398,2008
05-045-20156,WPX Energy Rocky Mountain LLC,Directional,39.456432,-108.043749,2011
05-077-09603,OXY USA Inc,Directional,39.28139,-107.85353,2008
05-045-11267,WPX Energy Rocky Mountain LLC,Directional,39.49877,-107.910276,2006
05-045-13939,WPX Energy Rocky Mountain LLC,Directional,39.541024,-107.867725,2008
05-045-13604,WPX Energy Rocky Mountain LLC,Directional,39.476794,-107.972442,2007
05-045-21968,WPX Energy Rocky Mountain LLC,Directional,39.497087,-107.840961,2014
05-045-21959,WPX Energy Rocky Mountain LLC,Directional,39.407523,-108.10713,2014
05-045-21285,OXY USA WTP LP,Directional,39.4796,-108.20211,2012
05-045-21974,WPX Energy Rocky Mountain LLC,Directional,39.496963,-107.841141,2013
05-045-09049,Encana Oil & Gas Inc,Directional,39.46929,-107.76859,2003
05-045-12578,WPX Energy Rocky Mountain LLC,Directional,39.50148,-107.939003,2007
05-045-13165,WPX Energy Rocky Mountain LLC,Directional,39.523929,-107.880437,2007
05-045-15934,WPX Energy Rocky Mountain LLC,Directional,39.50625,-107.861246,2009
05-045-09156,Encana Oil & Gas Inc,Directional,39.48278,-107.65973,2003
05-045-13083,Caerus Piceance LLC,Directional,39.533,-108.12092,2006
05-045-17696,OXY USA WTP LP,Directional,39.530517,-108.23317,2010
05-045-14747,Encana Oil & Gas Inc,Directional,39.47108,-107.65484,2007
05-045-11124,Ursa Operating LLC,Directional,39.46408,-107.58269,2006
05-045-11935,WPX Energy Rocky Mountain LLC,Directional,39.45873,-107.94435,2006
05-045-15043,WPX Energy Rocky Mountain LLC,Directional,39.464406,-108.020089,2008
05-045-11381,WPX Energy Rocky Mountain LLC,Directional,39.498605,-107.882111,2006
05-045-12730,WPX Energy Rocky Mountain LLC,Directional,39.469535,-107.915063,2008
05-045-13112,WPX Energy Rocky Mountain LLC,Directional,39.469519,-107.934715,2007
05-045-12310,WPX Energy Rocky Mountain LLC,Directional,39.470881,-107.978739,2007
05-045-10417,Encana Oil & Gas Inc,Directional,39.40022,-108.0504,2005
05-045-09279,Encana Oil & Gas Inc,Directional,39.47858,-107.68441,2003
05-045-10032,Encana Oil & Gas Inc,Directional,39.45742,-107.87799,2004
05-045-08198,Encana Oil & Gas Inc,Directional,39.4486,-107.7316,2003
05-045-07715,WPX Energy Rocky Mountain LLC,Directional,39.485011,-107.893864,2001
05-123-37204,Bayswater Exploration & Production LLC,Directional,40.561815,-104.65042,2013
05-045-14036,Chevron Inc,Directional,39.57474,-108.35363,2007
05-077-09467,Piceance Energy LLC,Directional,39.266022,-107.726819,2008
05-045-20525,WPX Energy Rocky Mountain LLC,Directional,39.552798,-107.877309,2011
05-045-09492,Encana Oil & Gas Inc,Directional,39.49085,-107.73825,2004
05-045-17781,WPX Energy Rocky Mountain LLC,Directional,39.493478,-107.871433,2009
05-045-13837,WPX Energy Rocky Mountain LLC,Directional,39.476304,-107.894363,2007
05-045-08044,Encana Oil & Gas Inc,Directional,39.48852,-107.7214,2002
05-045-11602,WPX Energy Rocky Mountain LLC,Directional,39.480645,-108.070927,2007
05-045-08957,Encana Oil & Gas Inc,Directional,39.48939,-107.72078,2002
05-045-17059,WPX Energy Rocky Mountain LLC,Directional,39.491611,-107.85108,2009
05-045-16991,WPX Energy Rocky Mountain LLC,Directional,39.476483,-107.946746,2009
05-045-18190,WPX Energy Rocky Mountain LLC,Directional,39.464447,-108.020189,2009
05-045-13773,Chevron Inc,Directional,39.578824,-108.356114,2007
05-045-15424,Chevron Inc,Directional,39.58691,-108.341,2008
05-077-09636,Piceance Energy LLC,Directional,39.25815,-107.739425,2008
05-045-09300,Encana Oil & Gas Inc,Directional,39.47453,-107.78357,2003
05-045-19936,OXY USA WTP LP,Directional,39.53603,-108.2377,2010
05-045-08181,Encana Oil & Gas Inc,Directional,39.48262,-107.72681,2003
05-045-20075,WPX Energy Rocky Mountain LLC,Directional,39.463379,-108.006826,2012
05-045-15024,Marathon Oil,Directional,39.52409,-108.14796,2008
05-045-13593,WPX Energy Rocky Mountain LLC,Directional,39.475614,-107.960059,2008
05-045-19811,Caerus Piceance LLC,Directional,39.48503,-108.17469,2011
05-045-15012,OXY USA WTP LP,Directional,39.51833,-108.248676,2007
05-123-34774,Extraction Oil & Gas LLC,Directional,40.552647,-104.86691,2012
05-045-12845,WPX Energy Rocky Mountain LLC,Directional,39.501524,-107.939058,2008
05-045-12945,WPX Energy Rocky Mountain LLC,Directional,39.478656,-107.952282,2006
05-045-12940,WPX Energy Rocky Mountain LLC,Directional,39.478725,-107.952214,2007
05-045-15260,OXY USA WTP LP,Directional,39.51835,-108.248709,2008
05-045-11299,WPX Energy Rocky Mountain LLC,Directional,39.489386,-108.12155,2006
05-045-13313,WPX Energy Rocky Mountain LLC,Directional,39.464296,-107.932142,2008
05-045-18193,WPX Energy Rocky Mountain LLC,Directional,39.464465,-108.020203,2009
05-077-09334,Piceance Energy LLC,Directional,39.247106,-107.749908,2007
05-045-16986,WPX Energy Rocky Mountain LLC,Directional,39.486057,-107.898633,2008
05-045-14375,WPX Energy Rocky Mountain LLC,Directional,39.438272,-108.069729,2007
05-077-09238,Piceance Energy LLC,Directional,39.2182,-107.77813,2008
05-045-17244,Caerus Piceance LLC,Directional,39.440138,-107.911916,2009
05-045-10504,Encana Oil & Gas Inc,Directional,39.45014,-107.76622,2005
05-045-14126,WPX Energy Rocky Mountain LLC,Directional,39.410272,-108.093538,2007
05-045-09510,Encana Oil & Gas Inc,Directional,39.49593,-107.73504,2004
05-045-21051,WPX Energy Rocky Mountain LLC,Directional,39.485747,-107.915725,2011
05-045-13215,WPX Energy Rocky Mountain LLC,Directional,39.472248,-107.961239,2007
05-045-18221,WPX Energy Rocky Mountain LLC,Directional,39.495787,-108.091453,2010
05-045-11005,WPX Energy Rocky Mountain LLC,Directional,39.51201,-107.913976,2006
05-045-14012,WPX Energy Rocky Mountain LLC,Directional,39.527552,-107.848935,2008
05-045-13941,WPX Energy Rocky Mountain LLC,Directional,39.540908,-107.867787,2008
05-045-19700,WPX Energy Rocky Mountain LLC,Directional,39.438131,-107.965034,2011
05-045-18098,WPX Energy Rocky Mountain LLC,Directional,39.461713,-108.046505,2009
05-045-15903,WPX Energy Rocky Mountain LLC,Directional,39.528915,-107.934754,2008
05-045-09082,Encana Oil & Gas Inc,Directional,39.47249,-107.70572,2003
05-045-11400,WPX Energy Rocky Mountain LLC,Directional,39.481936,-108.062721,2007
05-045-18062,OXY USA WTP LP,Directional,39.52188,-108.23141,2010
05-077-09321,Piceance Energy LLC,Directional,39.243542,-107.754697,2007
05-045-14751,Caerus Piceance LLC,Directional,39.456975,-107.916073,2008
05-045-12846,WPX Energy Rocky Mountain LLC,Directional,39.501556,-107.939093,2008
05-045-11183,WPX Energy Rocky Mountain LLC,Directional,39.520849,-107.870345,2007
05-045-15246,OXY USA WTP LP,Directional,39.51835,-108.24868,2008
05-045-21054,WPX Energy Rocky Mountain LLC,Directional,39.485741,-107.91575,2011
05-045-18217,WPX Energy Rocky Mountain LLC,Directional,39.495839,-108.091409,2010
05-045-22261,WPX Energy Rocky Mountain LLC,Directional,39.445661,-108.064719,2014
05-045-10912,Encana Oil & Gas Inc,Directional,39.452667,-107.8711,2005
05-045-20720,OXY USA WTP LP,Directional,39.54886,-108.23009,2012
05-045-14142,WPX Energy Rocky Mountain LLC,Directional,39.480932,-107.912937,2008
05-045-21963,WPX Energy Rocky Mountain LLC,Directional,39.497103,-107.840943,2014
05-045-14027,WPX Energy Rocky Mountain LLC,Directional,39.527384,-107.856701,2008
05-045-17209,WPX Energy Rocky Mountain LLC,Directional,39.485091,-108.105527,2009
05-045-21755,WPX Energy Rocky Mountain LLC,Directional,39.426087,-108.087948,2013
05-045-11992,WPX Energy Rocky Mountain LLC,Directional,39.507878,-108.1264,2006
05-045-10650,Encana Oil & Gas Inc,Directional,39.36942,-108.0851,2005
05-045-13608,WPX Energy Rocky Mountain LLC,Directional,39.476812,-107.972453,2007
05-045-12666,WPX Energy Rocky Mountain LLC,Directional,39.475621,-108.070936,2006
05-045-10510,Encana Oil & Gas Inc,Directional,39.46718,-107.82762,2005
05-045-11937,WPX Energy Rocky Mountain LLC,Directional,39.46936,-108.1127,2006
05-045-12630,WPX Energy Rocky Mountain LLC,Directional,39.527646,-107.89635,2007
05-045-14875,WPX Energy Rocky Mountain LLC,Directional,39.486658,-108.04257,2008
05-045-17191,WPX Energy Rocky Mountain LLC,Directional,39.490271,-107.899701,2009
05-045-12830,WPX Energy Rocky Mountain LLC,Directional,39.486566,-108.120729,2007
05-045-11158,WPX Energy Rocky Mountain LLC,Directional,39.48255,-107.977438,2006
05-045-17309,WPX Energy Rocky Mountain LLC,Directional,39.49854,-107.850503,2010
05-045-18707,WPX Energy Rocky Mountain LLC,Directional,39.5048,-107.928833,2009
05-045-14511,Marathon Oil,Directional,39.51971,-108.15649,2007
05-045-12811,WPX Energy Rocky Mountain LLC,Directional,39.537302,-107.904626,2008
05-045-21485,WPX Energy Rocky Mountain LLC,Directional,39.482332,-107.836627,2013
05-045-13302,WPX Energy Rocky Mountain LLC,Directional,39.470372,-107.923147,2009
05-045-21983,WPX Energy Rocky Mountain LLC,Directional,39.493928,-107.837882,2014
05-045-11932,WPX Energy Rocky Mountain LLC,Directional,39.45684,-107.95212,2006
05-045-21975,WPX Energy Rocky Mountain LLC,Directional,39.496995,-107.841107,2014
05-045-11991,WPX Energy Rocky Mountain LLC,Directional,39.507947,-108.126459,2006
05-045-11104,WPX Energy Rocky Mountain LLC,Directional,39.519358,-107.890036,2008
05-045-16926,WPX Energy Rocky Mountain LLC,Directional,39.480391,-108.133621,2008
05-045-21984,WPX Energy Rocky Mountain LLC,Directional,39.493908,-107.837882,2014
05-045-14952,WPX Energy Rocky Mountain LLC,Directional,39.496646,-107.950254,2008
05-077-09354,Piceance Energy LLC,Directional,39.246594,-107.743297,2007
05-123-36335,Bayswater Exploration & Production LLC,Directional,40.502386,-104.651373,2012
05-045-17090,WPX Energy Rocky Mountain LLC,Directional,39.485463,-108.132329,2009
05-045-13853,Caerus Piceance LLC,Directional,39.52081,-108.12425,2007
05-045-09160,Encana Oil & Gas Inc,Directional,39.49264,-107.68979,2003
05-045-09068,Encana Oil & Gas Inc,Directional,39.49109,-107.7371,2003
05-045-17884,OXY USA WTP LP,Directional,39.47841,-108.20186,2010
05-045-17468,WPX Energy Rocky Mountain LLC,Directional,39.485051,-107.887341,2013
05-045-14455,WPX Energy Rocky Mountain LLC,Directional,39.465624,-107.954141,2008
05-045-13466,Encana Oil & Gas Inc,Directional,39.44428,-107.69733,2005
05-045-12302,WPX Energy Rocky Mountain LLC,Directional,39.46955,-107.91504,2006
05-045-14693,WPX Energy Rocky Mountain LLC,Directional,39.47913,-108.060723,2007
05-045-14270,Caerus Piceance LLC,Directional,39.53614,-108.15586,2010
05-045-12667,WPX Energy Rocky Mountain LLC,Directional,39.541991,-107.861238,2007
05-045-17820,WPX Energy Rocky Mountain LLC,Directional,39.4806,-108.126568,2010
05-045-11770,OXY USA WTP LP,Directional,39.486049,-108.249955,2006
05-045-15056,WPX Energy Rocky Mountain LLC,Directional,39.403008,-108.087254,2007
05-045-12246,WPX Energy Rocky Mountain LLC,Directional,39.521027,-107.88005,2008
05-045-12301,WPX Energy Rocky Mountain LLC,Directional,39.46963,-107.91507,2006
05-045-13322,WPX Energy Rocky Mountain LLC,Directional,39.470346,-107.923146,2009
05-045-10058,Encana Oil & Gas Inc,Directional,39.47829,-107.72786,2004
05-045-13418,Encana Oil & Gas Inc,Directional,39.40597,-108.06051,2005
05-077-09357,Piceance Energy LLC,Directional,39.246531,-107.743283,2007
05-045-11971,WPX Energy Rocky Mountain LLC,Directional,39.538076,-107.871182,2006
05-045-15122,WPX Energy Rocky Mountain LLC,Directional,39.60919,-108.278997,2008
05-077-09677,OXY USA Inc,Directional,39.29498,-107.84512,2008
05-045-17093,WPX Energy Rocky Mountain LLC,Directional,39.485488,-108.132435,2009
05-045-11405,Encana Oil & Gas Inc,Directional,39.45894,-107.73705,2007
05-045-18089,Marathon Oil,Directional,39.58371,-108.19721,2009
05-045-14268,WPX Energy Rocky Mountain LLC,Directional,39.469818,-107.942514,2007
05-045-10929,WPX Energy Rocky Mountain LLC,Directional,39.475858,-107.982568,2005
05-045-10173,Encana Oil & Gas Inc,Directional,39.47436,-107.78213,2004
05-045-21555,WPX Energy Rocky Mountain LLC,Directional,39.482274,-107.835967,2013
05-045-14130,WPX Energy Rocky Mountain LLC,Directional,39.410383,-108.093696,2007
05-045-13998,WPX Energy Rocky Mountain LLC,Directional,39.527589,-107.848973,2008
05-045-15577,WPX Energy Rocky Mountain LLC,Directional,39.520995,-107.88,2008
05-045-21049,WPX Energy Rocky Mountain LLC,Directional,39.485721,-107.915827,2012
05-045-21790,WPX Energy Rocky Mountain LLC,Directional,39.474858,-107.798807,2014
05-045-13554,WPX Energy Rocky Mountain LLC,Directional,39.464301,-107.931957,2008
05-045-12670,WPX Energy Rocky Mountain LLC,Directional,39.541943,-107.861258,2007
05-045-20752,WPX Energy Rocky Mountain LLC,Directional,39.485191,-107.839732,2012
05-045-13279,WPX Energy Rocky Mountain LLC,Directional,39.47022,-107.985944,2007
05-045-16229,OXY USA WTP LP,Directional,39.531133,-108.223344,2008
05-045-13836,WPX Energy Rocky Mountain LLC,Directional,39.476262,-107.894364,2007
05-045-17242,Caerus Piceance LLC,Directional,39.439961,-107.911775,2009
05-045-10931,WPX Energy Rocky Mountain LLC,Directional,39.432881,-108.074789,2006
05-045-21682,WPX Energy Rocky Mountain LLC,Directional,39.461467,-108.051712,2012
05-045-13129,WPX Energy Rocky Mountain LLC,Directional,39.503175,-108.136544,2007
05-045-09167,Encana Oil & Gas Inc,Directional,39.49615,-107.72644,2003
05-045-11380,WPX Energy Rocky Mountain LLC,Directional,39.498646,-107.882138,2006
05-045-21819,WPX Energy Rocky Mountain LLC,Directional,39.452886,-107.967266,2013
05-045-09196,Encana Oil & Gas Inc,Directional,39.44192,-107.71851,2003
05-077-09674,OXY USA Inc,Directional,39.27522,-107.81752,2008
05-045-17887,OXY USA WTP LP,Directional,39.47836,-108.2019,2010
05-045-12109,WPX Energy Rocky Mountain LLC,Directional,39.534213,-107.900693,2007
05-045-11193,WPX Energy Rocky Mountain LLC,Directional,39.482522,-107.977451,2006
05-045-20100,WPX Energy Rocky Mountain LLC,Directional,39.463396,-108.006839,2012
05-045-08180,Encana Oil & Gas Inc,Directional,39.4826,-107.72687,2003
05-045-14003,WPX Energy Rocky Mountain LLC,Directional,39.527572,-107.848936,2008
05-045-10522,Vanguard Operating LLC,Directional,39.492121,-107.64879,2005
05-045-19809,Caerus Piceance LLC,Directional,39.48494,-108.17475,2011
05-045-21770,WPX Energy Rocky Mountain LLC,Directional,39.474681,-107.798737,2013
05-045-19030,WPX Energy Rocky Mountain LLC,Directional,39.458694,-107.944351,2011
05-045-10564,OXY USA WTP LP,Directional,39.4951,-108.24398,2005
05-045-12508,WPX Energy Rocky Mountain LLC,Directional,39.492552,-107.988721,2006
05-045-17248,Caerus Piceance LLC,Directional,39.440054,-107.91183,2009
05-045-21782,WPX Energy Rocky Mountain LLC,Directional,39.474779,-107.798776,2013
05-045-13310,WPX Energy Rocky Mountain LLC,Directional,39.464273,-107.932063,2008
05-045-16223,Caerus Piceance LLC,Directional,39.50856,-108.16836,2010
05-045-11406,Encana Oil & Gas Inc,Directional,39.458897,-107.737059,2007
05-045-21989,WPX Energy Rocky Mountain LLC,Directional,39.493887,-107.837881,2014
05-045-16215,Caerus Piceance LLC,Directional,39.50836,-108.16861,2008
05-045-10340,Vanguard Operating LLC,Directional,39.511861,-107.629978,2005
05-045-12571,WPX Energy Rocky Mountain LLC,Directional,39.51666,-107.861698,2008
05-045-12672,WPX Energy Rocky Mountain LLC,Directional,39.541951,-107.861223,2007
05-045-13385,Encana Oil & Gas Inc,Directional,39.46733,-107.67459,2004
05-045-13600,WPX Energy Rocky Mountain LLC,Directional,39.520408,-107.863781,2007
05-045-12600,WPX Energy Rocky Mountain LLC,Directional,39.476068,-108.019638,2007
05-045-13758,Caerus Piceance LLC,Directional,39.53894,-108.14367,2007
05-045-14295,WPX Energy Rocky Mountain LLC,Directional,39.525413,-107.932115,2007
05-045-14209,Caerus Piceance LLC,Directional,39.51297,-108.16367,2008
05-077-09466,Piceance Energy LLC,Directional,39.242017,-107.734258,2008
05-045-20062,OXY USA WTP LP,Directional,39.53385,-108.24185,2011
05-045-22263,WPX Energy Rocky Mountain LLC,Directional,39.445632,-108.064619,2014
05-045-21442,OXY USA WTP LP,Directional,39.47958,-108.20211,2012
05-045-21052,WPX Energy Rocky Mountain LLC,Directional,39.485728,-107.915801,2012
05-045-12032,Encana Oil & Gas Inc,Directional,39.599156,-108.159475,2007
05-045-16075,Caerus Piceance LLC,Directional,39.405833,-107.97031,2010
05-103-11815,Puckett Land,Directional,39.913203,-108.373816,2011
05-045-20883,WPX Energy Rocky Mountain LLC,Directional,39.465913,-107.954112,2012
05-045-17088,WPX Energy Rocky Mountain LLC,Directional,39.485491,-108.132302,2009
05-045-11026,WPX Energy Rocky Mountain LLC,Directional,39.516168,-108.073687,2005
05-103-11861,WPX Energy Rocky Mountain LLC,Directional,39.935677,-108.33935,2012
05-045-18097,WPX Energy Rocky Mountain LLC,Directional,39.461754,-108.046566,2009
05-045-17805,WPX Energy Rocky Mountain LLC,Directional,39.510286,-107.93772,2009
05-045-19277,OXY USA WTP LP,Directional,39.530495,-108.233203,2010
05-045-12664,WPX Energy Rocky Mountain LLC,Directional,39.475641,-108.070943,2006
05-045-12668,WPX Energy Rocky Mountain LLC,Directional,39.542083,-107.861311,2008
05-103-11116,Whiting Oil & Gas Corp,Directional,39.856446,-108.348239,2008
05-045-13233,Caerus Piceance LLC,Directional,39.51953,-108.12211,2007
05-045-16902,WPX Energy Rocky Mountain LLC,Directional,39.476023,-107.871634,2009
05-045-10027,Encana Oil & Gas Inc,Directional,39.45743,-107.87811,2004
05-045-13164,WPX Energy Rocky Mountain LLC,Directional,39.523909,-107.880442,2006
05-045-12800,WPX Energy Rocky Mountain LLC,Directional,39.539334,-107.903733,2007
05-045-12825,WPX Energy Rocky Mountain LLC,Directional,39.5392,-107.903804,2007
05-045-20150,WPX Energy Rocky Mountain LLC,Directional,39.456423,-108.043698,2011
05-045-08923,Encana Oil & Gas Inc,Directional,39.45527,-107.70826,2002
05-045-21756,WPX Energy Rocky Mountain LLC,Directional,39.426084,-108.087984,2013
05-045-10836,Encana Oil & Gas Inc,Directional,39.41467,-108.03797,2005
05-045-11891,WPX Energy Rocky Mountain LLC,Directional,39.52541,-107.9323,2006
05-045-18192,WPX Energy Rocky Mountain LLC,Directional,39.464495,-108.02024,2009
05-045-16288,Chevron Inc,Directional,39.572609,-108.340137,2008
05-045-21976,WPX Energy Rocky Mountain LLC,Directional,39.496946,-107.841115,2013
05-045-08109,Encana Oil & Gas Inc,Directional,39.48899,-107.69923,2002
05-045-20721,OXY USA WTP LP,Directional,39.54882,-108.23016,2012
05-045-10878,WPX Energy Rocky Mountain LLC,Directional,39.484532,-108.02631,2005
05-045-17302,WPX Energy Rocky Mountain LLC,Directional,39.485108,-108.105576,2009
05-045-14141,WPX Energy Rocky Mountain LLC,Directional,39.480929,-107.912855,2008
05-045-19564,WPX Energy Rocky Mountain LLC,Directional,39.479976,-107.934354,2011
05-045-14454,WPX Energy Rocky Mountain LLC,Directional,39.465711,-107.954125,2008
05-045-17210,WPX Energy Rocky Mountain LLC,Directional,39.484735,-108.104547,2009
05-045-20755,WPX Energy Rocky Mountain LLC,Directional,39.485207,-107.839841,2012
05-045-16347,WPX Energy Rocky Mountain LLC,Directional,39.469571,-108.154822,2009
05-045-07805,Encana Oil & Gas Inc,Directional,39.46681,-107.66859,2001
05-045-09484,Encana Oil & Gas Inc,Directional,39.46851,-107.71877,2004
05-045-13610,WPX Energy Rocky Mountain LLC,Directional,39.476861,-107.972514,2007
05-077-09084,Piceance Energy LLC,Directional,39.23382,-107.7658,2006
05-045-13183,WPX Energy Rocky Mountain LLC,Directional,39.497105,-107.915932,2007
05-045-21549,WPX Energy Rocky Mountain LLC,Directional,39.482289,-107.83595,2013
05-045-13018,WPX Energy Rocky Mountain LLC,Directional,39.53772,-107.8603,2007
05-045-13734,WPX Energy Rocky Mountain LLC,Directional,39.46826,-107.910338,2008
05-077-08938,OXY USA Inc,Directional,39.31075,-107.843583,2006
05-077-09065,OXY USA Inc,Directional,39.232833,-107.939611,2007
05-045-20645,WPX Energy Rocky Mountain LLC,Directional,39.452096,-107.949857,2013
