api_number,incident_id,year,spudyr,LifeYear,direction,operator,latitude,longitude,pathway,leak_over,pathway_detail,cause,material,material_detail,volume_gal,waterimpact,contained,state
30-025-41174,nTO1418941914,2014,2013,1,Horizontal,Cimarex Energy Company,32.2694321,-103.6176071,Tank,NA,Unknown,Human Error,Crude Oil,Unknown,420,No,Yes,NM
30-025-41249,nTO1435029870,2014,2013,1,Horizontal,EOG Resources Inc,32.1028328,-103.5027618,Flowline,Leak,Unknown,Equipment Failure,Saltwater,Unknown,2100,No,Unknown,NM
30-025-41302,nGRL1413438172,2014,2014,0,Horizontal,Devon Energy Production Company,32.2544632,-103.5537567,Transport,NA,Loading/Unloading,Human Error,Crude Oil,Unknown,1260,No,Unknown,NM
30-025-41302,nTO1418955309,2014,2014,0,Horizontal,Devon Energy Production Company,32.2544632,-103.5537567,Transport,NA,Loading/Unloading,Human Error,Crude Oil,Unknown,1260,No,Unknown,NM
30-025-41313,nTO1428353661,2014,2013,1,Horizontal,CAZA Operating LLC,32.2819786,-103.4941788,Pump,NA,Valve,Equipment Failure,Saltwater,Unknown,4200,No,No,NM
30-025-41346,nTO1434252950,2014,2014,1,Horizontal,COG Operating LLC,32.7399597,-103.5836868,Free Water Knockout,NA,Froze,Environmental Conditions,Crude Oil,Unknown,4200,No,Unknown,NM
30-025-41364,nTO1423729763,2014,2014,0,Horizontal,BC Operating Inc,32.4420929,-103.5529404,Shaker,NA,Unknown,Human Error,Saltwater,Unknown,1680,No,Unknown,NM
30-025-41450,nTO1430728488,2014,2014,1,Horizontal,GMT Exploration Company LLC,32.3555107,-103.431076,Transport,NA,Loading/Unloading,Human Error,Crude Oil,Unknown,1680,No,No,NM
30-025-41509,nTO1421952242,2014,2014,0,Horizontal,CONOCOPHILLIPS Company,32.0189018,-103.6914749,Pit,Leak,Liner,Equipment Failure,Saltwater,Unknown,840,No,Yes,NM
30-025-41516,nTO1417636911,2014,2014,0,Horizontal,Devon Energy Production Company,32.1964722,-103.6089478,Tank,Overflow,Unknown,Human Error,Saltwater,Unknown,1260,No,Yes,NM
30-025-41614,nTO1419030269,2014,2014,0,Horizontal,Matador Production Company,32.7278938,-103.5797653,Sand Trap,NA,Valve,Equipment Failure,Drilling Waste,Unknown,8400,No,Unknown,NM
30-025-41625,nTO1431629657,2014,2014,0,Horizontal,Devon Energy Production Company,32.2544518,-103.5474319,Blowout,NA,Unknown,Unknown,Drilling Waste,Unknown,588,No,Unknown,NM
30-025-41627,nSAD1413436037,2014,2014,0,Horizontal,CHEVRON USA Inc,32.2824974,-103.5281677,Flowline,Leak,Fitting,Equipment Failure,Hydraulic Fracture Solution,Unknown,294,No,Unknown,NM
30-025-41642,nTO1432841496,2014,2014,0,Horizontal,Yates Petroleum Corp,32.1813965,-103.5756836,Flowline,Leak,Froze,Environmental Conditions,Saltwater,Unknown,252,No,Yes,NM
30-025-41655,nTO1426037274,2014,2014,0,Horizontal,Yates Petroleum Corp,32.1812286,-103.5844574,Flowline,Leak,Unknown,Equipment Failure,Saltwater,Unknown,21000,No,Unknown,NM
30-025-41706,nTO1431831520,2014,2014,0,Horizontal,CONOCOPHILLIPS Company,32.0493546,-103.6723938,Tank,Overflow,Unknown,Human Error,Drilling Waste,Unknown,630,No,Unknown,NM
30-039-27699,nCS1432151260,2014,2004,10,Horizontal,WPX Energy Production LLC,36.880806,-107.4111328,Pump,NA,Unknown,Equipment Failure,Saltwater,Unknown,4200,No,No,NM
