api,operator,status,direction,depth_ft,spudyr,latitude,longitude
30-005-27972,Yates Petroleum Corp,Active,Horizontal,8852,2010,33.0243073,-103.7675171
30-005-27975,Legacy Reservers Operating LP,Active,Horizontal,8820,2009,33.0215111,-103.7847595
30-005-27976,Legacy Reservers Operating LP,Active,Horizontal,8766,2010,33.0178757,-103.7864532
30-005-27994,CHEVRON USA Inc,Active,Horizontal,8897,2009,33.0143318,-103.7675095
30-005-27995,Legacy Reservers Operating LP,Active,Horizontal,8774,2009,33.0287094,-103.802002
30-005-27999,Legacy Reservers Operating LP,Active,Horizontal,8802,2010,33.0177841,-103.8170776
30-005-28000,Legacy Reservers Operating LP,Active,Horizontal,8807,2010,33.0241356,-103.8170853
30-005-29019,Cimarex Energy Company of CO,Active,Horizontal,8738,2008,32.9888611,-103.8665695
30-005-29033,Cimarex Energy Company of CO,Active,Horizontal,8900,2008,33.032383,-103.7826157
30-005-29041,Cimarex Energy Company of CO,Active,Horizontal,8851,2010,33.0387917,-103.7998581
30-005-29042,Cimarex Energy Company of CO,Active,Horizontal,8843,2010,33.0432053,-103.7998657
30-005-29043,Cimarex Energy Company of CO,Active,Horizontal,13041,2011,33.0468979,-103.7997208
30-005-29047,Cimarex Energy Company of CO,Active,Horizontal,8724,2010,33.0033264,-103.8685684
30-005-29048,Cimarex Energy Company of CO,Active,Horizontal,13332,2010,33.0177803,-103.8343201
30-005-29049,Legacy Reservers Operating LP,Active,Horizontal,13106,2010,33.0214119,-103.8167572
30-005-29050,Legacy Reservers Operating LP,Active,Horizontal,8782,2011,33.0141869,-103.8167496
30-005-29052,Cimarex Energy Company of CO,Active,Horizontal,13193,2010,32.986187,-103.8537064
30-005-29057,Cimarex Energy Company of CO,Active,Horizontal,13258,2008,33.0323181,-103.7998505
30-005-29061,Cimarex Energy Company of CO,Active,Horizontal,8761,2009,33.014183,-103.8193741
30-005-29062,Cimarex Energy Company of CO,Active,Horizontal,8723,2010,33.0097733,-103.8193665
30-005-29063,Cimarex Energy Company of CO,Active,Horizontal,8724,2009,33.0097771,-103.8366089
30-005-29064,Cimarex Energy Company of CO,Active,Horizontal,8687,2009,33.0141869,-103.8366165
30-005-29065,Cimarex Energy Company of CO,Active,Horizontal,8773,2009,33.0222054,-103.8514328
30-005-29074,Mack Energy Corp,Active,Horizontal,7638,2009,32.982193,-103.9398117
30-005-29077,Cimarex Energy Company of CO,Active,Horizontal,8768,2010,33.0221939,-103.8343201
30-005-29083,Yates Petroleum Corp,Active,Horizontal,8785,2009,33.035099,-103.7843475
30-005-29090,Cimarex Energy Company of CO,Active,Horizontal,8692,2010,33.0097961,-103.8538666
30-005-29096,Yates Petroleum Corp,Plugged and Abandoned,Horizontal,999,2010,32.9807434,-103.8704529
30-005-29100,Cimarex Energy Company of CO,Active,Horizontal,8788,2011,32.9991913,-103.8510742
30-005-29101,Cimarex Energy Company of CO,Active,Horizontal,8736,2010,33.0032997,-103.8366089
30-005-29102,Cimarex Energy Company of CO,Active,Horizontal,8726,2010,33.0077133,-103.8366089
30-005-29113,Marshall & Winston Inc,Active,Horizontal,8767,2010,33.0290222,-103.834198
30-005-29114,Marshall & Winston Inc,Active,Horizontal,8859,2011,33.0541534,-103.799881
30-005-29117,Mack Energy Corp,Active,Horizontal,9856,2010,32.9831543,-103.9398117
30-005-29119,Legacy Reservers Operating LP,Active,Horizontal,8713,2011,33.039566,-103.8023376
30-005-29120,Legacy Reservers Operating LP,Active,Horizontal,8719,2012,33.0431976,-103.8023453
30-005-29122,Cimarex Energy Company of CO,Active,Horizontal,8659,2010,33.0069504,-103.8537216
30-005-29137,CHEVRON USA Inc,Active,Horizontal,13362,2010,33.0323105,-103.8015823
30-005-29139,Cimarex Energy Company of CO,Active,Horizontal,8711,2010,33.0223274,-103.8600616
30-005-29141,Mack Energy Corp,Active,Horizontal,8560,2010,32.9824371,-103.9451904
30-005-29143,Mack Energy Corp,Active,Horizontal,9055,2010,32.9892387,-103.9057617
30-005-29145,CHEVRON USA Inc,Active,Horizontal,13480,2013,33.0397224,-103.7667923
30-005-29151,Cimarex Energy Company of CO,Active,Horizontal,8800,2013,33.0363045,-103.8429489
30-005-29152,Cimarex Energy Company of CO,Active,Horizontal,8800,2012,33.0326767,-103.8429413
30-005-29172,Yates Petroleum Corp,Active,Horizontal,8744,2011,32.9921455,-103.8187714
30-005-29186,Mack Energy Corp,Active,Horizontal,8752,2011,33.0005455,-103.8192062
30-005-29195,Cimarex Energy Company of CO,Active,Horizontal,8681,2012,33.0464668,-103.801506
30-005-29204,CHEVRON USA Inc,Active,Horizontal,8718,2013,33.0359421,-103.8015823
30-005-29209,Cimarex Energy Company of CO,Active,Horizontal,8734,2014,33.0386124,-103.8343353
30-005-63766,Scythian LTD,Active,Horizontal,4532,2006,33.7866669,-104.7146454
30-005-63783,Parallel Petroleum LLC,Active,Horizontal,9314,2006,33.0802879,-104.3248138
30-005-63785,Parallel Petroleum LLC,Active,Horizontal,5374,2006,33.0509758,-104.3418121
30-005-63786,Parallel Petroleum LLC,Active,Horizontal,5307,2006,33.0531845,-104.3381805
30-005-63830,Parallel Petroleum LLC,Active,Horizontal,4875,2006,33.021698,-104.445488
30-005-63849,Myco Industries Inc,Active,Horizontal,9255,2007,32.9662971,-104.4570618
30-005-63850,Myco Industries Inc,Active,Horizontal,9042,2007,32.9662971,-104.4571304
30-005-63852,Parallel Petroleum LLC,Active,Horizontal,4940,2007,32.9767952,-104.455719
30-005-63858,Legacy Reservers Operating LP,Active,Horizontal,8750,2008,32.9766426,-104.5086594
30-005-63859,Legacy Reservers Operating LP,Active,Horizontal,4651,2007,32.9735641,-104.5086517
30-005-63860,Legacy Reservers Operating LP,Active,Horizontal,7697,2008,32.9699173,-104.5086441
30-005-63861,Legacy Reservers Operating LP,Active,Horizontal,4639,2006,32.9662895,-104.5086365
30-005-63879,Parallel Petroleum LLC,Active,Horizontal,9278,2008,32.9840469,-104.4572754
30-005-63880,Parallel Petroleum LLC,Active,Horizontal,9032,2008,32.9840469,-104.4573288
30-005-63881,Parallel Petroleum LLC,Active,Horizontal,5013,2007,33.054081,-104.388504
30-005-63885,Parallel Petroleum LLC,Active,Horizontal,4783,2006,32.9767342,-104.4570236
30-005-63886,Parallel Petroleum LLC,Active,Horizontal,4924,2007,33.0129509,-104.4558868
30-005-63909,Myco Industries Inc,Active,Horizontal,8956,2008,32.9695129,-104.4572983
30-005-63910,Myco Industries Inc,Active,Horizontal,4929,2008,32.9696503,-104.4572372
30-005-63916,Parallel Petroleum LLC,Active,Horizontal,8975,2008,32.991291,-104.4559631
30-005-63917,Parallel Petroleum LLC,Active,Horizontal,9070,2007,33.0350418,-104.4571838
30-005-63918,Parallel Petroleum LLC,Active,Horizontal,8838,2008,33.0423012,-104.4573212
30-005-63919,Parallel Petroleum LLC,Temporarily Plugged,Horizontal,4718,2008,33.0498009,-104.4574356
30-005-63924,Parallel Petroleum LLC,Active,Horizontal,9035,2007,33.0098686,-104.4559402
30-005-63925,Parallel Petroleum LLC,Active,Horizontal,4769,2007,33.0129509,-104.4559402
30-005-63928,Parallel Petroleum LLC,Active,Horizontal,4701,2008,32.9650269,-104.4913483
30-005-63932,Parallel Petroleum LLC,Active,Horizontal,8740,2007,33.0205002,-104.4570541
30-005-63933,Parallel Petroleum LLC,Active,Horizontal,7691,2008,32.9985466,-104.4559097
30-005-63934,Parallel Petroleum LLC,Active,Horizontal,9175,2007,33.0056915,-104.4559326
30-005-63935,Parallel Petroleum LLC,Active,Horizontal,8458,2008,32.9985504,-104.4558563
30-005-63938,Parallel Petroleum LLC,Active,Horizontal,9056,2007,33.0057106,-104.4543991
30-005-63944,Parallel Petroleum LLC,Active,Horizontal,9220,2007,33.0615234,-104.3885117
30-005-63946,Parallel Petroleum LLC,Active,Horizontal,4720,2007,33.0350418,-104.4572449
30-005-63949,Parallel Petroleum LLC,Active,Horizontal,8482,2007,33.0277596,-104.4572449
30-005-63950,Parallel Petroleum LLC,Active,Horizontal,9160,2007,33.0277596,-104.4571838
30-005-63966,Parallel Petroleum LLC,Active,Horizontal,9205,2008,32.991291,-104.4560242
30-005-63972,Parallel Petroleum LLC,Active,Horizontal,9407,2008,33.0394287,-104.4225998
30-005-63974,Parallel Petroleum LLC,Active,Horizontal,9224,2008,33.0394287,-104.4226608
30-005-63980,EOG Resources Inc,Plugged and Abandoned,Horizontal,6500,2007,33.0326691,-104.2342148
30-005-64005,Mack Energy Corp,Active,Horizontal,4644,2008,33.1056938,-104.0343704
30-005-64018,Myco Industries Inc,Active,Horizontal,7350,2008,32.9647522,-104.526001
30-005-64019,Yates Petroleum Corp,Plugged and Abandoned,Horizontal,75,2008,33.1269722,-104.006752
30-005-64020,Yates Petroleum Corp,Active,Horizontal,5120,2008,33.3049507,-104.2859116
30-005-64025,Parallel Petroleum LLC,Active,Horizontal,9065,2008,32.9737129,-104.457077
30-005-64034,Parallel Petroleum LLC,Active,Horizontal,9351,2008,32.9807549,-104.4557571
30-005-64035,Parallel Petroleum LLC,Active,Horizontal,9012,2008,32.9807549,-104.4556961
30-005-64132,Devon Energy Production Company,Plugged and Abandoned,Horizontal,7797,2010,33.3070679,-104.0844574
30-005-64157,Mack Energy Corp,Active,Horizontal,2998,2012,33.1113014,-104.0235214
30-005-64160,Mack Energy Corp,Active,Horizontal,3290,2013,32.9986687,-104.0755997
30-015-10222,Endeavor Energy Resources LP,Active,Horizontal,8040,2006,32.7096062,-104.7417984
30-015-20590,Legacy Reservers Operating LP,Active,Horizontal,8330,2008,32.71698,-104.6816101
30-015-20871,OXY USA WTP Limited Partnership,Active,Horizontal,11500,2002,32.5714378,-104.1504059
30-015-20940,BOPCO LP,Active,Horizontal,7026,2000,32.4413338,-103.9746475
30-015-22162,BOPCO LP,Active,Horizontal,9408,2009,32.38097,-103.8835297
30-015-22466,Nearburg Producing Company,Active,Horizontal,9484,2006,32.6481857,-104.4703903
30-015-29755,COG Operating LLC,Active,Horizontal,4855,1997,32.8210068,-104.0016861
30-015-31935,RKI Exploration & Production LLC,Approved TA,Horizontal,11750,2001,32.3023109,-104.322197
30-015-33324,Vanguard Operating LLC,Active,Horizontal,7240,2004,32.1529045,-103.9530563
30-015-33648,OXY USA WTP Limited Partnership,Active,Horizontal,8584,2004,32.3859367,-104.448761
30-015-33722,Vanguard Operating LLC,Active,Horizontal,9370,2005,32.1528854,-103.9487305
30-015-33983,Vanguard Operating LLC,Active,Horizontal,9379,2005,32.1510925,-103.9573746
30-015-33991,XTO Energy Inc,Active,Horizontal,9630,2005,32.3189659,-103.9364929
30-015-34048,Legacy Reservers Operating LP,Active,Horizontal,8402,2005,32.81567,-104.5703354
30-015-34077,OXY USA WTP Limited Partnership,Active,Horizontal,8191,2005,32.4408302,-104.5273819
30-015-34198,Legacy Reservers Operating LP,Active,Horizontal,4926,2005,32.8313904,-104.5562134
30-015-34253,Vanguard Operating LLC,Active,Horizontal,7552,2005,32.1529083,-103.9573746
30-015-34290,EOG Resources Inc,Active,Horizontal,7945,2007,32.7683296,-104.0180054
30-015-34313,Endeavor Energy Resources LP,Active,Horizontal,8725,2005,32.8738708,-104.5272217
30-015-34315,Legacy Reservers Operating LP,Active,Horizontal,8088,2005,32.9175453,-104.5442581
30-015-34356,Legacy Reservers Operating LP,Active,Horizontal,4720,2005,32.917572,-104.5398788
30-015-34417,EOG Resources Inc,Active,Horizontal,8028,2006,32.7610931,-104.0091705
30-015-34418,EOG Resources Inc,Active,Horizontal,8043,2006,32.761097,-104.0043869
30-015-34422,Legacy Reservers Operating LP,Active,Horizontal,8330,2005,32.816433,-104.5826721
30-015-34426,Legacy Reservers Operating LP,Active,Horizontal,8440,2005,32.8156548,-104.5739822
30-015-34438,COG Operating LLC,Active,Horizontal,12370,2006,32.3115883,-103.9951782
30-015-34444,OXY USA Inc,Active,Horizontal,10686,2005,32.2185707,-103.9819794
30-015-34449,Vanguard Operating LLC,Active,Horizontal,8685,2006,32.1519699,-103.9530563
30-015-34460,Legacy Reservers Operating LP,Active,Horizontal,8750,2005,32.8554459,-104.5184174
30-015-34465,EOG Resources Inc,Plugged and Abandoned,Horizontal,904,2006,32.9321747,-104.5340881
30-015-34466,Legacy Reservers Operating LP,Active,Horizontal,8356,2006,32.9175987,-104.5359039
30-015-34476,Legacy Reservers Operating LP,Active,Horizontal,4592,2006,32.9429436,-104.5355988
30-015-34477,Legacy Reservers Operating LP,Active,Horizontal,4683,2006,32.9430275,-104.5190125
30-015-34478,Legacy Reservers Operating LP,Active,Horizontal,4554,2006,32.9358177,-104.53479
30-015-34479,Legacy Reservers Operating LP,Active,Horizontal,6898,2006,32.9400711,-104.5355988
30-015-34480,Legacy Reservers Operating LP,Active,Horizontal,4632,2006,32.9396973,-104.5183868
30-015-34481,Legacy Reservers Operating LP,Active,Horizontal,4485,2007,32.9422913,-104.5510941
30-015-34482,Legacy Reservers Operating LP,Active,Horizontal,8630,2008,32.9320068,-104.5528488
30-015-34483,Legacy Reservers Operating LP,Active,Horizontal,4522,2006,32.934948,-104.5528412
30-015-34484,Legacy Reservers Operating LP,Active,Horizontal,8346,2008,32.9395599,-104.5522003
30-015-34485,Legacy Reservers Operating LP,Active,Horizontal,4717,2006,32.932457,-104.5183792
30-015-34486,Legacy Reservers Operating LP,Active,Horizontal,4694,2006,32.9355354,-104.5183868
30-015-34487,Legacy Reservers Operating LP,Active,Horizontal,4532,2006,32.8770561,-104.5875473
30-015-34488,Legacy Reservers Operating LP,Active,Horizontal,4483,2007,32.8739738,-104.5875626
30-015-34489,Legacy Reservers Operating LP,Active,Horizontal,4931,2006,32.815712,-104.5614166
30-015-34493,Legacy Reservers Operating LP,Active,Horizontal,8610,2006,32.8304558,-104.5700912
30-015-34494,Legacy Reservers Operating LP,Active,Horizontal,4971,2006,32.8290939,-104.5517273
30-015-34505,EOG Resources Inc,Active,Horizontal,8035,2007,32.767231,-103.9925842
30-015-34516,EOG Resources Inc,Active,Horizontal,8044,2006,32.7681503,-103.9997025
30-015-34590,Legacy Reservers Operating LP,Active,Horizontal,4654,2006,32.9029999,-104.5568466
30-015-34591,Legacy Reservers Operating LP,Active,Horizontal,4620,2006,32.9029045,-104.5619278
30-015-34597,Legacy Reservers Operating LP,Active,Horizontal,4849,2006,32.9359779,-104.4649277
30-015-34598,Legacy Reservers Operating LP,Active,Horizontal,8700,2006,32.9318848,-104.465065
30-015-34607,David H. Arrington Oil & Gas Inc,Active,Horizontal,8498,2006,32.7855415,-104.6599197
30-015-34623,Vanguard Operating LLC,Active,Horizontal,7649,2006,32.1644211,-103.955658
30-015-34664,Legacy Reservers Operating LP,Active,Horizontal,4650,2006,32.9321632,-104.5137558
30-015-34665,Legacy Reservers Operating LP,Active,Horizontal,4667,2006,32.9321518,-104.5101013
30-015-34666,Legacy Reservers Operating LP,Active,Horizontal,4734,2006,32.9321365,-104.5051041
30-015-34667,Legacy Reservers Operating LP,Active,Horizontal,4763,2006,32.9321251,-104.5014496
30-015-34681,Legacy Reservers Operating LP,Active,Horizontal,4815,2006,32.9419632,-104.4666138
30-015-34682,Legacy Reservers Operating LP,Active,Horizontal,4842,2006,32.9394341,-104.4666214
30-015-34696,David H. Arrington Oil & Gas Inc,Active,Horizontal,8715,2006,32.8292809,-104.6136551
30-015-34710,Legacy Reservers Operating LP,Active,Horizontal,4450,2007,32.9129868,-104.569664
30-015-34711,Legacy Reservers Operating LP,Active,Horizontal,4454,2007,32.9101181,-104.569931
30-015-34712,Legacy Reservers Operating LP,Active,Horizontal,8185,2006,32.9061356,-104.5701904
30-015-34713,Legacy Reservers Operating LP,Active,Horizontal,8195,2007,32.9030571,-104.5702057
30-015-34729,Yates Petroleum Corp,Active,Horizontal,4650,2007,32.9139671,-104.5356903
30-015-34743,David H. Arrington Oil & Gas Inc,Active,Horizontal,8508,2006,32.8300362,-104.6083908
30-015-34751,Legacy Reservers Operating LP,Plugged and Abandoned,Horizontal,575,2007,32.9543839,-104.535614
30-015-34752,Legacy Reservers Operating LP,Active,Horizontal,4522,2007,32.9568291,-104.535614
30-015-34753,Legacy Reservers Operating LP,Active,Horizontal,7714,2006,32.9502029,-104.5356064
30-015-34754,Legacy Reservers Operating LP,Active,Horizontal,4550,2007,32.9471245,-104.5355988
30-015-34794,Endeavor Energy Resources LP,Active,Horizontal,4348,2006,32.6986351,-104.7542267
30-015-34800,Legacy Reservers Operating LP,Active,Horizontal,4630,2006,32.9515533,-104.5169449
30-015-34801,Legacy Reservers Operating LP,Active,Horizontal,4654,2007,32.9455719,-104.5168915
30-015-34834,David H. Arrington Oil & Gas Inc,Active,Horizontal,4710,2007,32.7863312,-104.6731873
30-015-34837,Legacy Reservers Operating LP,Active,Horizontal,4584,2006,32.9321747,-104.5339279
30-015-34841,EOG Resources Inc,Plugged and Abandoned,Horizontal,4149,2006,32.9392395,-104.60466
30-015-34842,Legacy Reservers Operating LP,Active,Horizontal,4837,2006,32.8884964,-104.5357819
30-015-34850,Burnett Oil Company Inc,Active,Horizontal,6614,2007,32.8336258,-103.9356613
30-015-34895,Legacy Reservers Operating LP,Active,Horizontal,8550,2008,32.8884926,-104.5394363
30-015-34909,Burnett Oil Company Inc,Active,Horizontal,6589,2006,32.8300018,-103.9405365
30-015-34936,Vanguard Operating LLC,Active,Horizontal,7545,2006,32.1589012,-103.9573517
30-015-34942,Vanguard Operating LLC,Active,Horizontal,7406,2006,32.151825,-103.9616394
30-015-34989,Legacy Reservers Operating LP,Active,Horizontal,4656,2007,32.9453087,-104.506279
30-015-34990,Legacy Reservers Operating LP,Active,Horizontal,4731,2007,32.9452972,-104.5014572
30-015-34996,David H. Arrington Oil & Gas Inc,Active,Horizontal,4920,2006,32.6513824,-104.7244568
30-015-35073,Devon Energy Production Company,Active,Horizontal,6588,2006,32.2835922,-103.9787598
30-015-35107,Legacy Reservers Operating LP,Active,Horizontal,7088,2007,32.9620743,-104.5356216
30-015-35108,Yates Petroleum Corp,Active,Horizontal,7914,2008,32.2531052,-103.9654312
30-015-35113,Vanguard Operating LLC,Active,Horizontal,7700,2006,32.158905,-103.9616165
30-015-35115,BOPCO LP,Active,Horizontal,12292,2008,32.2487602,-103.9273834
30-015-35116,David H. Arrington Oil & Gas Inc,Active,Horizontal,4900,2006,32.8027458,-104.6565323
30-015-35161,Legacy Reservers Operating LP,Active,Horizontal,8810,2007,32.9467506,-104.4823761
30-015-35165,Parallel Petroleum LLC,Active,Horizontal,4441,2006,32.6513748,-104.7712555
30-015-35281,Legacy Reservers Operating LP,Active,Horizontal,4764,2007,32.9395027,-104.4838867
30-015-35327,Legacy Reservers Operating LP,Active,Horizontal,4734,2008,32.9565353,-104.4652176
30-015-35328,Legacy Reservers Operating LP,Active,Horizontal,4749,2007,32.9461365,-104.4651108
30-015-35332,Legacy Reservers Operating LP,Active,Horizontal,4947,2007,32.9342461,-104.4305649
30-015-35369,Legacy Reservers Operating LP,Active,Horizontal,4746,2007,32.9438629,-104.4823761
30-015-35380,Legacy Reservers Operating LP,Active,Horizontal,4648,2007,32.9617348,-104.4823914
30-015-35381,Legacy Reservers Operating LP,Active,Horizontal,4689,2007,32.9540176,-104.4838867
30-015-35382,Legacy Reservers Operating LP,Active,Horizontal,4690,2007,32.9573364,-104.4838867
30-015-35406,Legacy Reservers Operating LP,Active,Horizontal,4717,2007,32.9498405,-104.4838791
30-015-35413,OXY USA Inc,Active,Horizontal,11075,2007,32.2647552,-103.9753036
30-015-35443,Vanguard Operating LLC,Active,Horizontal,5245,2007,32.1301956,-103.9826126
30-015-35467,Legacy Reservers Operating LP,Active,Horizontal,4780,2007,32.9631195,-104.5151138
30-015-35488,Legacy Reservers Operating LP,Active,Horizontal,4868,2007,32.9574547,-104.447876
30-015-35567,EOG Resources Inc,Plugged and Abandoned,Horizontal,4800,2007,32.951313,-104.5516205
30-015-35597,Devon Energy Production Company,Active,Horizontal,11420,2007,32.3580284,-103.8285522
30-015-35611,Legacy Reservers Operating LP,Active,Horizontal,8622,2008,32.9528465,-104.5170822
30-015-35612,Legacy Reservers Operating LP,Active,Horizontal,4660,2007,32.9586754,-104.5169907
30-015-35614,BOPCO LP,Active,Horizontal,14769,2009,32.2412186,-103.9274063
30-015-35623,Vanguard Operating LLC,Active,Horizontal,7675,2007,32.1450615,-103.9691086
30-015-35624,Yates Petroleum Corp,Active,Horizontal,5038,2008,32.9136314,-104.4840012
30-015-35650,Legacy Reservers Operating LP,Active,Horizontal,4534,2007,32.9545212,-104.535614
30-015-35659,Legacy Reservers Operating LP,Active,Horizontal,4800,2007,32.808609,-104.5872726
30-015-35660,COG Operating LLC,Active,Horizontal,9176,2007,32.7030983,-103.9952011
30-015-35664,Devon Energy Production Company,Active,Horizontal,12486,2007,32.3402557,-103.7849655
30-015-35667,Legacy Reservers Operating LP,Active,Horizontal,4760,2007,32.9513321,-104.4651794
30-015-35681,Vanguard Operating LLC,Active,Horizontal,5211,2007,32.1301918,-103.9858475
30-015-35683,Legacy Reservers Operating LP,Active,Horizontal,4809,2007,32.8044319,-104.5872574
30-015-35684,Legacy Reservers Operating LP,Active,Horizontal,4825,2007,32.801075,-104.5872498
30-015-35692,OXY USA Inc,Active,Horizontal,11065,2007,32.2598152,-103.9757156
30-015-35709,EOG Resources Inc,Active,Horizontal,7768,2007,32.764679,-104.0379105
30-015-35710,COG Operating LLC,Active,Horizontal,9010,2008,32.3576546,-104.0616913
30-015-35742,OXY USA Inc,Active,Horizontal,10758,2008,32.2672844,-103.9793549
30-015-35751,Legacy Reservers Operating LP,Active,Horizontal,4390,2007,32.7211838,-104.7072067
30-015-35771,CHEVRON USA Inc,Active,Horizontal,9660,2007,32.1384926,-103.9369431
30-015-35804,Yates Petroleum Corp,Active,Horizontal,8818,2010,32.6695061,-103.8980026
30-015-35811,Yates Petroleum Corp,Active,Horizontal,8650,2008,32.9037514,-104.5350037
30-015-35812,Yates Petroleum Corp,Active,Horizontal,4717,2007,32.9064178,-104.5345383
30-015-35814,George A Chase Jr DBA G&C Service,Active,Horizontal,7545,2007,32.77771,-104.2421494
30-015-35820,Vanguard Operating LLC,Active,Horizontal,7700,2007,32.1521835,-103.9616394
30-015-35824,Yates Petroleum Corp,Active,Horizontal,4674,2007,32.910614,-104.5355377
30-015-35825,Legacy Reservers Operating LP,Active,Horizontal,4139,2007,32.7246246,-104.7573776
30-015-35829,Lime Rock Resources II-A LP,Active,Horizontal,4837,2008,32.7646332,-104.3008041
30-015-35831,CHEVRON USA Inc,Active,Horizontal,4895,2007,32.1675797,-104.0676498
30-015-35850,Devon Energy Production Company,Active,Horizontal,7860,2007,32.3402786,-103.7977905
30-015-35862,Legacy Reservers Operating LP,Active,Horizontal,4514,2007,32.702095,-104.720253
30-015-35884,Legacy Reservers Operating LP,Active,Horizontal,4154,2008,32.73106,-104.7588501
30-015-35892,Devon Energy Production Company,Active,Horizontal,12525,2007,32.3402786,-103.7998962
30-015-35894,Legacy Reservers Operating LP,Active,Horizontal,7335,2011,32.8943863,-104.0385818
30-015-35897,Legacy Reservers Operating LP,Active,Horizontal,10336,2008,32.9145012,-104.1734467
30-015-35912,Legacy Reservers Operating LP,Active,Horizontal,4503,2008,32.6990166,-104.7202454
30-015-36001,CHEVRON USA Inc,Active,Horizontal,9665,2008,32.171154,-104.0665817
30-015-36007,Legacy Reservers Operating LP,Active,Horizontal,8220,2008,32.7749977,-104.6727142
30-015-36022,CHEVRON USA Inc,Active,Horizontal,6946,2008,32.1712418,-104.0200806
30-015-36027,Yates Petroleum Corp,Active,Horizontal,7294,2008,32.9445953,-104.0534286
30-015-36028,EOG Resources Inc,Active,Horizontal,8067,2008,32.7679062,-103.987709
30-015-36032,COG Operating LLC,Active,Horizontal,9354,2008,32.6160393,-103.8194275
30-015-36033,COG Operating LLC,Active,Horizontal,9060,2008,32.7028923,-103.9994965
30-015-36044,Legacy Reservers Operating LP,Active,Horizontal,6659,2011,32.8860092,-104.1416397
30-015-36058,Legacy Reservers Operating LP,Active,Horizontal,6669,2010,32.8819656,-104.139595
30-015-36059,Legacy Reservers Operating LP,Active,Horizontal,4675,2008,32.7823906,-104.6387024
30-015-36060,Legacy Reservers Operating LP,Active,Horizontal,4683,2008,32.7795334,-104.6377945
30-015-36078,Devon Energy Production Company,Active,Horizontal,6479,2008,32.3099632,-103.995636
30-015-36100,Cimarex Energy Company of CO,Active,Horizontal,11514,2008,32.9424286,-104.0389709
30-015-36108,Devon Energy Production Company,Active,Horizontal,9,2011,32.2218475,-104.2062683
30-015-36109,CHEVRON USA Inc,Active,Horizontal,10671,2008,32.2965851,-103.9825363
30-015-36129,Legacy Reservers Operating LP,Active,Horizontal,8267,2008,32.709446,-104.6902084
30-015-36130,COG Operating LLC,Active,Horizontal,10055,2008,32.1746902,-104.170845
30-015-36137,OXY USA Inc,Active,Horizontal,99999,2008,32.2753677,-103.9768982
30-015-36146,Burnett Oil Company Inc,Active,Horizontal,6614,2008,32.8339539,-103.9329605
30-015-36168,Legacy Reservers Operating LP,Active,Horizontal,8650,2008,32.7780151,-104.6718521
30-015-36185,COG Operating LLC,Active,Horizontal,11500,2009,32.1214218,-103.9820938
30-015-36200,BOPCO LP,Active,Horizontal,8150,2008,32.1759911,-103.9366989
30-015-36208,Legacy Reservers Operating LP,Active,Horizontal,8400,2008,32.7719383,-104.6716003
30-015-36214,Mewbourne Oil Company,Active,Horizontal,9948,2008,32.899395,-104.1767044
30-015-36220,Yates Petroleum Corp,Active,Horizontal,11450,2010,32.092617,-103.9989243
30-015-36223,CHEVRON USA Inc,Active,Horizontal,11651,2008,32.1385841,-103.9306107
30-015-36237,Legacy Reservers Operating LP,Active,Horizontal,4469,2008,32.7823257,-104.6724091
30-015-36270,EOG Resources Inc,Active,Horizontal,11760,2008,32.7678452,-103.9837723
30-015-36282,COG Production LLC,Active,Horizontal,7925,2008,32.0917931,-104.0170746
30-015-36287,COG Operating LLC,Active,Horizontal,9754,2010,32.1717873,-104.377655
30-015-36303,Legacy Reservers Operating LP,Active,Horizontal,4307,2008,32.7265587,-104.7236633
30-015-36305,Yates Petroleum Corp,Active,Horizontal,8230,2008,32.1793976,-104.1375885
30-015-36321,OXY USA Inc,Active,Horizontal,11694,2008,32.2558708,-103.9820633
30-015-36350,CHEVRON USA Inc,Active,Horizontal,11137,2008,32.9180489,-104.1389465
30-015-36354,Yates Petroleum Corp,Active,Horizontal,12695,2011,32.1964798,-103.7379227
30-015-36355,Yates Petroleum Corp,Active,Horizontal,8344,2012,32.1969452,-103.734726
30-015-36368,Yates Petroleum Corp,Active,Horizontal,12402,2008,32.3401108,-103.7802048
30-015-36369,Yates Petroleum Corp,Active,Horizontal,12525,2010,32.340107,-103.7771988
30-015-36372,COG Operating LLC,Active,Horizontal,6545,2011,32.1677322,-104.0935135
30-015-36373,OXY USA Inc,Active,Horizontal,12390,2009,32.2545013,-103.9623032
30-015-36374,Yates Petroleum Corp,Active,Horizontal,9000,2008,32.9177666,-104.5169678
30-015-36376,Devon Energy Production Company,Active,Horizontal,10570,2008,32.9015083,-104.1905365
30-015-36377,Devon Energy Production Company,Active,Horizontal,11358,2008,32.3156624,-103.7806549
30-015-36387,Yates Petroleum Corp,Active,Horizontal,4908,2008,32.9176331,-104.4653473
30-015-36390,Yates Petroleum Corp,Active,Horizontal,12184,2008,32.944046,-104.0534286
30-015-36397,Yates Petroleum Corp,Active,Horizontal,9120,2008,32.9207153,-104.4654694
30-015-36399,Yates Petroleum Corp,Plugged and Abandoned,Horizontal,1000,2008,32.9251938,-104.5169907
30-015-36401,OXY USA Inc,Active,Horizontal,10375,2008,32.2268944,-103.8328857
30-015-36403,Yates Petroleum Corp,Active,Horizontal,9,2008,32.9251938,-104.5170593
