unique(chem.up$new.cas)
NA
2594415
Unknown
unknown
57-55-6
7647-14-5
7664-38-2
14808-60-7
12125-02-9
13463-67-7
144-55-8
25322-68-3
259636
631-61-8
64-17-5
64742-94-5
67-56-1
67-63-0
71-23-8
7647-01-0
7732-18-5
7775-27-1
2232731
8028-48-6
8042-47-5
9000-30-0
9051-89-2
91-20-3
95-63-6
1319-33-1
7681-52-9
104-76-7
107-19-7
107-21-1
1309-42-8
1309-48-4
1310-73-2
14452-57-4
13709-94-9
27176-67-0
5064-31-3
55566-30-8
64-19-7
64742-47-8
65-85-0
68-11-1
68603-7-8
68909-18-2
8002-74-2
Not Hazard
2594446
29316-47-0
62649-23-4
9004-96-0
2605-79-0
77-92-9
68603-42-9
9005-25-8
37288-54-3
64742-48-9
7447-40-7
8001-79-4
111-42-2
119-65-3
93-83-4
9004-59-5
14807-96-6
533-74-4
68593-58-2
50-00-0
56-81-5
60-24-2
64-02-8
64-18-6
67-48-1
68-12-2
71-48-7
75-12-7
75-57-0
75-91-2
78-40-0
79-06-1
79-21-0
89-65-6
100-44-7
100-97-0
102-71-6
104-40-5
104-55-2
111-76-2
108-24-7
108-32-7
111-30-8
111-46-6
111-77-3
111-87-5
112-30-1
112-40-3
112-80-1
122-18-9
122-20-3
127-08-2
127-09-3
139-07-1
139-08-2
141-43-5
143-18-0
151-21-3
497-19-8
540-72-7
577-11-7
584-08-7
590-29-4
629-50-5
1120-21-4
1302-74-5
1302-78-9
1302-93-8
1303-96-4
1305-62-0
1305-79-9
1310-58-3
1330-43-4
1332-77-0
1338-43-8
2002-24-6
2687-96-9
2836-32-0
1304222
5989-27-5
6381-77-7
6419-19-8
7173-51-5
7447-39-4
7601-54-9
7631-86-9
7631-90-5
2093697
7664-39-3
7664-41-7
7681-82-5
7722-84-1
7727-21-1
7727-37-9
7727-54-0
7757-82-6
7757-83-7
7758-19-2
7758-98-7
7772-98-7
7783-20-2
7789-38-0
2228957
8007-43-0
9002-84-0
2594478
2594628
9003-35-4
9004-67-5
9004-77-7
9005-65-6
9014-93-1
9016-45-9
9025-56-3
9043-30-5
10125-13-0
10043-35-3
10043-52-4
10049-04-4
10192-30-0
10222-01-2
10486-00-7
10555-76-7
10604-69-0
11138-66-2
12045-78-2
12174-11-7
12179-04-3
13598-36-2
14464-46-1
15220-87-8
15619-48-4
18662-53-8
25038-72-6
25085-02-3
25322-69-4
25987-30-8
26027-38-3
26100-47-0
26266-58-0
26635-93-8
26836-07-7
27176-87-0
29638-69-5
31726-34-8
34590-94-8
34690-00-1
35585-58-1
38193-60-1
39346-76-4
51838-31-4
61723-83-9
61789-77-3
61790-12-3
61791-14-8
63148-62-9
64742-88-7
64741-85-1
64742-96-7
64743-02-8
65322-65-8
66402-68-4
66455-15-0
68002-97-1
68123-18-2
68130-15-4
68131-40-8
68155-20-4
68391-01-5
68412-54-4
68424-85-1
69439-46-3
68439-50-9
68439-51-0
68527-49-1
68551-12-2
68584-22-5
68953-58-2
68603-67-8
68607-28-3
68909-34-2
68951-67-7
68966-36-9
68990-47-6
69418-26-4
70750-07-1
71011-25-1
71050-62-9
72480-70-7
78330-21-9
81741-28-8
84133-50-6
91053-39-3
1317-71-1
108-10-1
100-41-4
100-52-7
82469-79-2
10025-69-1
10025-91-9
10028-15-6
10028-22-5
10035-04-8
1004542-84-0
100545-50-4
100765-57-9
101-68-8
10102-17-7
101033-44-7
7722-76-1
10124-37-5
102-81-8
110224-99-2
10294-56-1
10332-33-9
10361-65-6
10377-60-3
10476-85-4
10543-57-4
106-22-9
106-24-1
106-25-2
106-65-0
106-89-8
106-97-8
107-02-8
107-13-1
107-15-3
107-18-6
107-22-2
107-41-5
107-89-1
107-98-2
108-05-4
108-09-8
108-11-2
108-19-0
113221-69-5
108-67-8
108-83-8
108-88-3
108-95-2
109-46-6
109-55-7
109-66-0
111-40-0
110-17-8
110-44-1
110-54-3
110-91-8
111-30-08
75673-43-7
111-44-4
68442-77-3
111-84-2
1113-55-9
111560-38-4
1119-40-0
112-03-8
112-15-2
112-24-3
112-27-6
112-34-5
112-41-4
112-53-8
112-57-2
112-88-9
1120-24-7
1120-36-1
112926-00-8
112945-52-5
1330-20-7
113184-20-6
115-07-1
1159170-26-9
117-81-7
1184-78-7
119-36-8
119345-03-8
119345-04-9
119616-38-5
12008-41-2
1201-31-6
12030-49-8
